Porter,Original,Lancaster,Snowball
engross,['engrossing'],['engross'],['engross']
enhanc,['enhance'],['enh'],['enhanc']
enjoind,['enjoinder'],['enjoind'],['enjoind']
enlist,"['enlisted', 'enlists']","['enl', 'enl']","['enlist', 'enlist']"
enrag,['enrage'],['enr'],['enrag']
enrich,['enriching'],['enrich'],['enrich']
ensconc,['ensconced'],['enscont'],['ensconc']
ensu,['ensues'],['ensu'],['ensu']
enter,['enters'],['ent'],['enter']
enterpris,['enterprise'],['enterpr'],['enterpris']
entertain,"['entertainer', 'entertainment']","['entertain', 'entertain']","['entertain', 'entertain']"
enthusiasm,['enthusiasms'],['enthusiasm'],['enthusiasm']
enthusiast,"['enthusiasts', 'enthusiast']","['enthusiast', 'enthusiast']","['enthusiast', 'enthusiast']"
entomb,['entombed'],['entomb'],['entomb']
enumer,['enumeration'],['enum'],['enumer']
envi,['envied'],['envy'],['envi']
enzo,['enzo'],['enzo'],['enzo']
enzym,['enzyme'],['enzym'],['enzym']
enzymat,['enzymatic'],['enzym'],['enzymat']
epigraph,['epigraph'],['epigraph'],['epigraph']
epiphysi,['epiphysis'],['epiphys'],['epiphysi']
epitaph,['epitaph'],['epitaph'],['epitaph']
epithet,['epithet'],['epithet'],['epithet']
equal,"['equalled', 'equalization']","['equal', 'eq']","['equal', 'equal']"
equanim,['equanimity'],['equanim'],['equanim']
equip,['equipping'],['equip'],['equip']
equival,['equivalents'],['equ'],['equival']
equivoc,['equivocal'],['equivoc'],['equivoc']
erect,['erect'],['erect'],['erect']
erod,['eroded'],['erod'],['erod']
errant,['errant'],['er'],['errant']
errat,['erratic'],['er'],['errat']
ervin,['ervin'],['ervin'],['ervin']
escap,['escape'],['escap'],['escap']
eschew,['eschews'],['eschew'],['eschew']
esoter,['esoteric'],['esot'],['esoter']
espous,['espousing'],['esp'],['espous']
esprit,['esprit'],['esprit'],['esprit']
esthet,['esthetics'],['esthet'],['esthet']
estim,['estimates'],['estim'],['estim']
eta,['eta'],['et'],['eta']
ete,['etes'],['et'],['ete']
etern,['eternal'],['etern'],['etern']
ethic,['ethical'],['eth'],['ethic']
etho,['ethos'],['etho'],['etho']
ethyl,['ethyl'],['ethyl'],['ethyl']
eulog,['eulogize'],['eulog'],['eulog']
evalu,"['evaluate', 'evaluating']","['evalu', 'evalu']","['evalu', 'evalu']"
evegeni,['evegeni'],['evegen'],['evegeni']
eventu,['eventuate'],['eventu'],['eventu']
everest,['everest'],['everest'],['everest']
evermount,['evermounting'],['evermount'],['evermount']
evid,['evident'],['evid'],['evid']
evidenti,['evidential'],['evid'],['evidenti']
evolut,['evolution'],['evolv'],['evolut']
exact,['exacted'],['exact'],['exact']
exagger,['exaggerating'],['exag'],['exagger']
exalt,"['exalted', 'exalting']","['exalt', 'exalt']","['exalt', 'exalt']"
exasper,['exasperated'],['exasp'],['exasper']
exceed,['exceed'],['excess'],['exceed']
excel,['excellences'],['excel'],['excel']
excerpt,['excerpts'],['excerpt'],['excerpt']
exchang,['exchanging'],['exchang'],['exchang']
excis,['excised'],['exc'],['excis']
excit,['excite'],['excit'],['excit']
excruci,['excruciating'],['excrucy'],['excruci']
execut,"['execution', 'executives']","['execut', 'execut']","['execut', 'execut']"
execution,['executioners'],['execut'],['execution']
exemplifi,['exemplified'],['exempl'],['exemplifi']
exempt,['exemption'],['exempt'],['exempt']
exercis,['exercising'],['exerc'],['exercis']
exert,"['exerting', 'exert']","['exert', 'exert']","['exert', 'exert']"
exhal,"['exhaled', 'exhaling']","['exh', 'exh']","['exhal', 'exhal']"
exhaust,['exhaustible'],['exhaust'],['exhaust']
exhibit,['exhibits'],['exhibit'],['exhibit']
exil,['exiling'],['exil'],['exil']
exist,"['exists', 'existent']","['ex', 'ex']","['exist', 'exist']"
existentialist,['existentialists'],['ex'],['existentialist']
exit,['exits'],['exit'],['exit']
expand,"['expanded', 'expandable']","['expand', 'expand']","['expand', 'expand']"
expect,['expected'],['expect'],['expect']
expedit,"['expediting', 'expeditions']","['expedit', 'expedit']","['expedit', 'expedit']"
expenditur,"['expenditure', 'expenditures']","['expendit', 'expendit']","['expenditur', 'expenditur']"
expens,['expense'],['expens'],['expens']
experi,['experimented'],['expery'],['experi']
expertli,['expertly'],['expert'],['expert']
expiat,['expiation'],['expy'],['expiat']
expir,"['expire', 'expires']","['expir', 'expir']","['expir', 'expir']"
explanatori,['explanatory'],['expl'],['explanatori']
exploit,"['exploited', 'exploits']","['exploit', 'exploit']","['exploit', 'exploit']"
exploratori,['exploratory'],['expl'],['exploratori']
expos,['exposed'],['expos'],['expos']
express,['expressive'],['express'],['express']
expressiv,['expressivness'],['express'],['expressiv']
extens,['extension'],['extend'],['extens']
exterior,['exteriors'],['extery'],['exterior']
extern,['externalization'],['extern'],['extern']
extinct,['extinction'],['extinct'],['extinct']
extirp,['extirpating'],['extirp'],['extirp']
extrem,['extreme'],['extrem'],['extrem']
extremi,['extremis'],['extrem'],['extremi']
exuberantli,['exuberantly'],['exub'],['exuber']
exultantli,['exultantly'],['exult'],['exult']
eye,['eyeing'],['ey'],['eye']
eyebal,['eyeballs'],['eyebal'],['eyebal']
eyebrow,['eyebrow'],['eyebrow'],['eyebrow']
fabian,['fabian'],['fab'],['fabian']
fabric,['fabrics'],['fabr'],['fabric']
face,['faced'],['fac'],['face']
faceless,['faceless'],['faceless'],['faceless']
faint,['fainted'],['faint'],['faint']
fair,"['faire', 'faires', 'fairness']","['fair', 'fair', 'fair']","['fair', 'fair', 'fair']"
fairmount,['fairmount'],['fairmount'],['fairmount']
fake,['fake'],['fak'],['fake']
faket,['faket'],['faket'],['faket']
fallibl,['fallible'],['fall'],['fallibl']
falloff,['falloff'],['falloff'],['falloff']
famili,['families'],['famy'],['famili']
fanatic,['fanaticism'],['fan'],['fanatic']
fantasi,"['fantasies', 'fantasy']","['fantasy', 'fantasy']","['fantasi', 'fantasi']"
farmland,['farmlands'],['farmland'],['farmland']
farouk,['farouk'],['farouk'],['farouk']
fascin,['fascination'],['fascin'],['fascin']
fashion,['fashioning'],['fash'],['fashion']
fate,"['fated', 'fate', 'fateful']","['fat', 'fat', 'fat']","['fate', 'fate', 'fate']"
fatigu,['fatigued'],['fatigu'],['fatigu']
faucet,['faucet'],['faucet'],['faucet']
favor,"['favoring', 'favor', 'favorably']","['fav', 'fav', 'fav']","['favor', 'favor', 'favor']"
fawn,['fawn'],['fawn'],['fawn']
fear,['fearfully'],['fear'],['fear']
featherbed,['featherbedding'],['featherbed'],['featherbed']
featheri,['feathery'],['feathery'],['featheri']
fee,['fee'],['fee'],['fee']
feign,['feigned'],['feign'],['feign']
fellowfeel,['fellowfeeling'],['fellowfeel'],['fellowfeel']
fellowship,['fellowships'],['fellow'],['fellowship']
felt,['felt'],['felt'],['felt']
feminin,['feminine'],['feminin'],['feminin']
fenc,['fences'],['fent'],['fenc']
fenster,['fenster'],['fenst'],['fenster']
fergeson,['fergeson'],['fergeson'],['fergeson']
feroci,['ferocious'],['ferocy'],['feroci']
ferri,['ferris'],['fer'],['ferri']
ferro,['ferro'],['ferro'],['ferro']
fertil,"['fertilized', 'fertilization']","['fertil', 'fertil']","['fertil', 'fertil']"
festiv,['festivities'],['fest'],['festiv']
feudal,['feudal'],['feud'],['feudal']
fiction,['fictional'],['fict'],['fiction']
fiedler,['fiedler'],['fiedl'],['fiedler']
fiendish,['fiendish'],['fiend'],['fiendish']
fierc,['fiercely'],['fierc'],['fierc']
fifth,['fifths'],['fifth'],['fifth']
fifti,['fifty'],['fifty'],['fifti']
fig,['fig'],['fig'],['fig']
figment,['figment'],['fig'],['figment']
figur,['figural'],['fig'],['figur']
file,['files'],['fil'],['file']
fillip,['fillip'],['fillip'],['fillip']
film,['filmed'],['film'],['film']
filmstrip,['filmstrips'],['filmstrip'],['filmstrip']
filthi,['filthy'],['filthy'],['filthi']
finger,['fingered'],['fing'],['finger']
firelight,['firelight'],['firelight'],['firelight']
firemen,['firemen'],['firem'],['firemen']
fireplac,"['fireplace', 'fireplaces']","['fireplac', 'fireplac']","['fireplac', 'fireplac']"
firm,['firm'],['firm'],['firm']
fish,['fishing'],['fish'],['fish']
fisher,['fisher'],['fish'],['fisher']
fisk,['fiske'],['fisk'],['fisk']
fit,['fittings'],['fit'],['fit']
fizzl,['fizzled'],['fizzl'],['fizzl']
flammabl,['flammable'],['flam'],['flammabl']
flannagan,['flannagan'],['flan'],['flannagan']
flannel,['flannel'],['flannel'],['flannel']
flaunt,['flaunting'],['flaunt'],['flaunt']
flautist,['flautist'],['flaut'],['flautist']
fleck,['fleck'],['fleck'],['fleck']
flicker,"['flickered', 'flicker']","['flick', 'flick']","['flicker', 'flicker']"
flip,['flipping'],['flip'],['flip']
flite,['flite'],['flit'],['flite']
flng,['flng'],['flng'],['flng']
float,['floats'],['flo'],['float']
floc,['floc'],['floc'],['floc']
floe,['floe'],['flo'],['floe']
floor,['floors'],['flo'],['floor']
florentin,['florentine'],['florentin'],['florentin']
flott,['flottes'],['flot'],['flott']
flourish,['flourished'],['flo'],['flourish']
fluentli,['fluently'],['flu'],['fluentli']
fluiditi,['fluidity'],['fluid'],['fluiditi']
fluoresc,['fluoresces'],['fluoresc'],['fluoresc']
flush,['flushed'],['flush'],['flush']
flux,['fluxes'],['flux'],['flux']
focal,['focally'],['foc'],['focal']
focuss,['focussed'],['focuss'],['focuss']
foibl,['foibles'],['foibl'],['foibl']
foil,['foiled'],['foil'],['foil']
fokin,['fokines'],['fokin'],['fokin']
fonta,['fonta'],['font'],['fonta']
foodstuff,['foodstuffs'],['foodstuff'],['foodstuff']
fool,['fooling'],['fool'],['fool']
foolish,"['foolish', 'foolishness']","['fool', 'fool']","['foolish', 'foolish']"
footbal,['footballers'],['footbal'],['footbal']
forbear,['forbears'],['forbear'],['forbear']
fore,['fore'],['for'],['fore']
forecast,['forecast'],['forecast'],['forecast']
forens,['forensic'],['forens'],['forens']
forerunn,['forerunner'],['forerun'],['forerunn']
foresight,['foresight'],['foresight'],['foresight']
forg,['forging'],['forg'],['forg']
forgot,['forgot'],['forgot'],['forgot']
forgotten,['forgotten'],['forgot'],['forgotten']
form,['formed'],['form'],['form']
formbi,['formby'],['formby'],['formbi']
formul,['formulations'],['form'],['formul']
formula,['formulaic'],['formula'],['formula']
fort,['forts'],['fort'],['fort']
forthcom,['forthcoming'],['forthcom'],['forthcom']
forthright,['forthrightness'],['forthright'],['forthright']
fortun,['fortune'],['fortun'],['fortun']
forward,['forwarded'],['forward'],['forward']
foss,['foss'],['foss'],['foss']
foster,['fostering'],['fost'],['foster']
fosterit,['fosterites'],['fosterit'],['fosterit']
founder,['foundering'],['found'],['founder']
foundl,['foundling'],['foundl'],['foundl']
foundri,['foundry'],['foundry'],['foundri']
fountainhead,['fountainhead'],['fountainhead'],['fountainhead']
foursom,['foursome'],['foursom'],['foursom']
fox,['fox'],['fox'],['fox']
fp,['fps'],['fps'],['fps']
fragil,['fragile'],['fragil'],['fragil']
fragmentarili,['fragmentarily'],['frag'],['fragmentarili']
fragrant,['fragrant'],['fragr'],['fragrant']
francoisett,['francoisette'],['francoiset'],['francoisett']
frantic,['frantically'],['frant'],['frantic']
fratern,"['fraternized', 'fraternize']","['fratern', 'fratern']","['fratern', 'fratern']"
frau,['frau'],['frau'],['frau']
frazier,['frazier'],['frazy'],['frazier']
fredrik,['fredrik'],['fredrik'],['fredrik']
freethink,['freethinkers'],['freethink'],['freethink']
freeway,['freeway'],['freeway'],['freeway']
freez,['freeze'],['freez'],['freez']
french,['french'],['french'],['french']
frenchmen,['frenchmen'],['frenchm'],['frenchmen']
frequent,['frequent'],['frequ'],['frequent']
fresco,"['frescoing', 'frescoes']","['fresco', 'fresco']","['fresco', 'fresco']"
fresno,['fresno'],['fresno'],['fresno']
fri,['fried'],['fri'],['fri']
friday,['friday'],['friday'],['friday']
fritzi,['fritzie'],['fritzy'],['fritzi']
frontag,['frontage'],['front'],['frontag']
frost,['frosts'],['frost'],['frost']
frosti,['frosty'],['frosty'],['frosti']
frown,['frown'],['frown'],['frown']
fuhrer,['fuhrer'],['fuhr'],['fuhrer']
fulk,['fulke'],['fulk'],['fulk']
fulli,['fully'],['ful'],['fulli']
fulmin,['fulminating'],['fulmin'],['fulmin']
furlough,['furlough'],['furlough'],['furlough']
furnac,['furnace'],['furnac'],['furnac']
furrow,['furrow'],['furrow'],['furrow']
fuse,['fused'],['fus'],['fuse']
futhermor,['futhermore'],['futherm'],['futhermor']
fuzz,['fuzz'],['fuzz'],['fuzz']
gabbl,['gabbling'],['gabbl'],['gabbl']
gabl,['gable'],['gabl'],['gabl']
gabler,['gabler'],['gabl'],['gabler']
gagarin,['gagarin'],['gagarin'],['gagarin']
gagwrit,['gagwriters'],['gagwrit'],['gagwrit']
gain,['gain'],['gain'],['gain']
galapago,['galapagos'],['galapago'],['galapago']
gall,['galls'],['gal'],['gall']
galleri,['gallery'],['gallery'],['galleri']
gallet,['gallet'],['gallet'],['gallet']
gallivantin,['gallivantin'],['gallivantin'],['gallivantin']
gallon,['gallon'],['gallon'],['gallon']
gallonag,['gallonage'],['gallon'],['gallonag']
galvan,['galvanizing'],['galv'],['galvan']
gantri,['gantry'],['gantry'],['gantri']
gap,['gap'],['gap'],['gap']
garment,['garment'],['gar'],['garment']
garnet,['garnet'],['garnet'],['garnet']
garnett,['garnett'],['garnet'],['garnett']
garri,['garry'],['garry'],['garri']
garrisonian,['garrisonian'],['garrison'],['garrisonian']
garrul,['garrulous'],['garr'],['garrul']
garstung,['garstung'],['garstung'],['garstung']
gash,['gash'],['gash'],['gash']
gasket,['gaskets'],['gasket'],['gasket']
gass,['gassed'],['gass'],['gass']
gather,['gathered'],['gath'],['gather']
gauguin,['gauguin'],['gauguin'],['gauguin']
gauntlet,['gauntlet'],['gauntlet'],['gauntlet']
gauntley,['gauntley'],['gauntley'],['gauntley']
gawki,['gawky'],['gawky'],['gawki']
gaze,['gazes'],['gaz'],['gaze']
gehrig,['gehrig'],['gehrig'],['gehrig']
gemeinschaft,['gemeinschaft'],['gemeinschaft'],['gemeinschaft']
genealog,['genealogies'],['genealog'],['genealog']
gener,"['generate', 'general', 'generations']","['gen', 'gen', 'gen']","['generat', 'general', 'generat']"
genet,['genetic'],['genet'],['genet']
genr,['genres'],['genr'],['genr']
gentl,['gentleness'],['gentl'],['gentl']
gentler,['gentler'],['gentl'],['gentler']
geodet,['geodetic'],['geodet'],['geodet']
geolog,['geological'],['geolog'],['geolog']
georgetown,['georgetown'],['georgetown'],['georgetown']
german,['germanic'],['germ'],['german']
germanium,['germanium'],['german'],['germanium']
germin,['germinate'],['germin'],['germin']
gesualdo,['gesualdo'],['gesualdo'],['gesualdo']
getaway,['getaway'],['getaway'],['getaway']
geyser,['geysers'],['geys'],['geyser']
ghoul,['ghouls'],['gho'],['ghoul']
gibbi,['gibby'],['gibby'],['gibbi']
gil,['gil'],['gil'],['gil']
gilda,['gildas'],['gilda'],['gilda']
gingham,['gingham'],['gingham'],['gingham']
girli,['girlie'],['gir'],['girli']
girth,['girth'],['gir'],['girth']
gisor,['gisors'],['gis'],['gisor']
git,['git'],['git'],['git']
give,['giving'],['giv'],['give']
giveaway,['giveaways'],['giveaway'],['giveaway']
giver,['giver'],['giv'],['giver']
gladdi,['gladdy'],['gladdy'],['gladdi']
gladiat,['gladiator'],['glady'],['gladiat']
glanc,['glanced'],['glant'],['glanc']
glander,['glanders'],['gland'],['glander']
glare,['glared'],['glar'],['glare']
glassi,['glassy'],['glassy'],['glassi']
glib,['glib'],['glib'],['glib']
glider,['gliders'],['glid'],['glider']
glint,['glint'],['glint'],['glint']
glisten,['glisten'],['glist'],['glisten']
glomerular,['glomerular'],['glomerul'],['glomerular']
gloomili,['gloomily'],['gloom'],['gloomili']
glorif,['glorification'],['glor'],['glorif']
glossi,['glossy'],['glossy'],['glossi']
glottochronolog,['glottochronology'],['glottochronolog'],['glottochronolog']
glower,['glowered'],['glow'],['glower']
glumli,['glumly'],['glum'],['glum']
gnash,['gnashing'],['gnash'],['gnash']
gobbler,['gobblers'],['gobbl'],['gobbler']
gogol,['gogols'],['gogol'],['gogol']
goitrogen,['goitrogens'],['goitrog'],['goitrogen']
goodi,"['goodies', 'goody']","['goody', 'goody']","['goodi', 'goodi']"
goodnight,['goodnight'],['goodnight'],['goodnight']
gooshey,['gooshey'],['gooshey'],['gooshey']
gossip,['gossiping'],['gossip'],['gossip']
gothic,['gothic'],['goth'],['gothic']
gourmet,['gourmet'],['gourmet'],['gourmet']
govern,['government'],['govern'],['govern']
grab,['grab'],['grab'],['grab']
grace,['graced'],['grac'],['grace']
grade,['graded'],['grad'],['grade']
gradualist,['gradualist'],['grad'],['gradualist']
graduat,['graduates'],['gradu'],['graduat']
grain,['graining'],['grain'],['grain']
grandad,['grandad'],['grandad'],['grandad']
grandma,['grandmas'],['grandma'],['grandma']
grapevin,['grapevine'],['grapevin'],['grapevin']
grasshopp,['grasshoppers'],['grasshop'],['grasshopp']
gratif,['gratification'],['grat'],['gratif']
gravesend,['gravesend'],['gravesend'],['gravesend']
gray,['graying'],['gray'],['gray']
grazer,['grazer'],['graz'],['grazer']
green,['greens'],['green'],['green']
greenberg,['greenberg'],['greenberg'],['greenberg']
greenest,['greenest'],['greenest'],['greenest']
greenli,['greenly'],['green'],['green']
greet,['greeting'],['greet'],['greet']
gregari,['gregarious'],['greg'],['gregari']
gregg,['gregg'],['greg'],['gregg']
grevyl,['grevyles'],['grevyl'],['grevyl']
grey,['greying'],['grey'],['grey']
grimesbi,['grimesby'],['grimesby'],['grimesbi']
grind,['grinding'],['grind'],['grind']
groat,['groat'],['gro'],['groat']
grocer,['grocer'],['groc'],['grocer']
groot,['groot'],['groot'],['groot']
grope,['grope'],['grop'],['grope']
groth,['groths'],['groth'],['groth']
grotto,['grottoes'],['grotto'],['grotto']
group,['grouped'],['group'],['group']
grove,['groves'],['grov'],['grove']
grover,['grovers'],['grov'],['grover']
grudg,['grudge'],['grudg'],['grudg']
grunnfeu,['grunnfeu'],['grunnfeu'],['grunnfeu']
guar,['guar'],['guar'],['guar']
guarante,['guarantees'],['guar'],['guarante']
guarded,['guardedness'],['guard'],['guarded']
guid,['guided'],['guid'],['guid']
guidebook,['guidebook'],['guidebook'],['guidebook']
guilti,['guilty'],['guil'],['guilti']
guiltless,['guiltless'],['guiltless'],['guiltless']
gull,['gull'],['gul'],['gull']
gulliv,['gullivers'],['gul'],['gulliv']
gun,['gunning'],['gun'],['gun']
gunfight,"['gunfighter', 'gunfights']","['gunfight', 'gunfight']","['gunfight', 'gunfight']"
gunsling,['gunslinger'],['gunsl'],['gunsling']
gypsum,['gypsum'],['gyps'],['gypsum']
haaek,['haaek'],['haaek'],['haaek']
habe,['habe'],['hab'],['habe']
hackstaff,['hackstaff'],['hackstaff'],['hackstaff']
haddock,['haddock'],['haddock'],['haddock']
haec,['haec'],['haec'],['haec']
haestier,['haestier'],['haesty'],['haestier']
haggl,"['haggle', 'haggling']","['haggl', 'haggl']","['haggl', 'haggl']"
haijac,['haijac'],['haijac'],['haijac']
hair,['hair'],['hair'],['hair']
halfback,['halfbacks'],['halfback'],['halfback']
halfway,['halfways'],['halfway'],['halfway']
hallelujah,['hallelujah'],['hallelujah'],['hallelujah']
hallow,['hallowed'],['hallow'],['hallow']
halma,['halma'],['halm'],['halma']
halo,['halos'],['halo'],['halo']
halter,['halter'],['halt'],['halter']
ham,['hamming'],['ham'],['ham']
hammarskjold,['hammarskjold'],['hammarskjold'],['hammarskjold']
handi,['handy'],['handy'],['handi']
handlebar,['handlebars'],['handleb'],['handlebar']
handwrit,['handwriting'],['handwrit'],['handwrit']
haney,['haneys'],['haney'],['haney']
hangov,['hangover'],['hangov'],['hangov']
hapgood,['hapgood'],['hapgood'],['hapgood']
happier,['happier'],['happy'],['happier']
har,['harness'],['har'],['har']
harass,['harass'],['harass'],['harass']
harburg,['harburg'],['harburg'],['harburg']
hard,['harding'],['hard'],['hard']
harde,['hardees'],['hard'],['harde']
harriss,['harriss'],['harriss'],['harriss']
haskel,['haskell'],['haskel'],['haskel']
hasnt,['hasnt'],['hasnt'],['hasnt']
hasten,['hastening'],['hast'],['hasten']
haughti,['haughty'],['haughty'],['haughti']
haul,['hauled'],['haul'],['haul']
haunt,['haunt'],['haunt'],['haunt']
havent,['havent'],['hav'],['havent']
haw,['haw'],['haw'],['haw']
hawaii,['hawaii'],['hawai'],['hawaii']
hawksley,['hawksley'],['hawksley'],['hawksley']
haydn,['haydn'],['haydn'],['haydn']
headlin,['headlining'],['headlin'],['headlin']
hear,['hearings'],['hear'],['hear']
heartless,['heartless'],['heartless'],['heartless']
heat,['heat'],['heat'],['heat']
hecatomb,['hecatomb'],['hecatomb'],['hecatomb']
hedda,['hedda'],['hedd'],['hedda']
hedg,['hedged'],['hedg'],['hedg']
heeler,['heelers'],['heel'],['heeler']
heenan,['heenan'],['heen'],['heenan']
heffernan,['heffernan'],['heffern'],['heffernan']
heft,['hefted'],['heft'],['heft']
hegemoni,['hegemony'],['hegemony'],['hegemoni']
heighten,['heightening'],['height'],['heighten']
heir,['heir'],['heir'],['heir']
heliopoli,['heliopolis'],['heliopol'],['heliopoli']
helium,['helium'],['hel'],['helium']
hellfir,['hellfire'],['hellfir'],['hellfir']
hem,['hemmed'],['hem'],['hem']
hemolyt,['hemolytic'],['hemolys'],['hemolyt']
hereaft,['hereafter'],['hereaft'],['hereaft']
herein,['herein'],['herein'],['herein']
herewith,['herewith'],['herewi'],['herewith']
herford,['herford'],['herford'],['herford']
hermeneut,['hermeneutics'],['hermeneut'],['hermeneut']
herrin,['herrin'],['herrin'],['herrin']
hesit,['hesitant'],['hesit'],['hesit']
hexamet,['hexameter'],['hexamet'],['hexamet']
hibern,['hibernate'],['hibern'],['hibern']
hid,['hid'],['hid'],['hid']
hidden,['hidden'],['hid'],['hidden']
hide,['hides'],['hid'],['hide']
hideou,['hideous'],['hid'],['hideous']
high,['highs'],['high'],['high']
highboy,['highboy'],['highboy'],['highboy']
hike,['hike'],['hik'],['hike']
hillman,['hillman'],['hillm'],['hillman']
himmler,['himmler'],['himml'],['himmler']
hindmost,['hindmost'],['hindmost'],['hindmost']
hino,['hino'],['hino'],['hino']
hippodrom,['hippodrome'],['hippodrom'],['hippodrom']
hire,"['hiring', 'hires']","['hir', 'hir']","['hire', 'hire']"
histrion,['histrionics'],['hist'],['histrion']
hither,['hither'],['hith'],['hither']
hitter,['hitter'],['hit'],['hitter']
hive,['hive'],['hiv'],['hive']
hoag,['hoags'],['hoag'],['hoag']
hock,['hocks'],['hock'],['hock']
hoev,['hoeve'],['hoev'],['hoev']
hoffa,['hoffa'],['hoff'],['hoffa']
hoffer,['hoffer'],['hoff'],['hoffer']
hog,['hog'],['hog'],['hog']
hoi,['hoi'],['hoi'],['hoi']
hole,"['holed', 'holes']","['hol', 'hol']","['hole', 'hole']"
holland,['hollander'],['holland'],['holland']
holt,['holt'],['holt'],['holt']
home,['homes'],['hom'],['home']
homebuild,['homebuilders'],['homebuild'],['homebuild']
homestead,['homesteaders'],['homestead'],['homestead']
homogen,['homogenization'],['homog'],['homogen']
hon,['hon'],['hon'],['hon']
honor,['honored'],['hon'],['honor']
honorari,['honorary'],['hon'],['honorari']
hooker,['hookers'],['hook'],['hooker']
hopelessli,['hopelessly'],['hopeless'],['hopeless']
hopkinsian,['hopkinsian'],['hopkins'],['hopkinsian']
hoppl,['hoppled'],['hoppl'],['hoppl']
hord,['hordes'],['hord'],['hord']
horizont,['horizontal'],['horizont'],['horizont']
horn,"['horned', 'hornes', 'horns']","['horn', 'horn', 'horn']","['horn', 'horn', 'horn']"
horrifi,['horrifying'],['horr'],['horrifi']
hors,['horse'],['hors'],['hors']
horseback,['horseback'],['horseback'],['horseback']
hoss,['hosses'],['hoss'],['hoss']
hotli,['hotly'],['hot'],['hot']
hotrod,['hotrod'],['hotrod'],['hotrod']
hottest,['hottest'],['hottest'],['hottest']
hous,['housed'],['hous'],['hous']
housebroken,['housebroken'],['housebrok'],['housebroken']
housewif,['housewife'],['housew'],['housewif']
housman,['housman'],['housm'],['housman']
how,['hows'],['how'],['how']
hoy,['hoy'],['hoy'],['hoy']
hubbub,['hubbub'],['hubbub'],['hubbub']
hubi,['hubies'],['huby'],['hubi']
huey,['huey'],['huey'],['huey']
hulk,['hulks'],['hulk'],['hulk']
humbl,['humble'],['humbl'],['humbl']
hume,['humes'],['hum'],['hume']
humorist,['humorists'],['hum'],['humorist']
humour,['humour'],['humo'],['humour']
hunch,['hunches'],['hunch'],['hunch']
hundredth,['hundredth'],['hundred'],['hundredth']
hung,['hung'],['hung'],['hung']
hunger,['hunger'],['hung'],['hunger']
hunkerish,['hunkerish'],['hunk'],['hunkerish']
huski,"['huskiness', 'husky']","['husky', 'husky']","['huski', 'huski']"
huzzah,['huzzahs'],['huzzah'],['huzzah']
hyalin,['hyaline'],['hyalin'],['hyalin']
hydrid,['hydrides'],['hydrid'],['hydrid']
hydrochemistri,['hydrochemistry'],['hydrochem'],['hydrochemistri']
hypoact,['hypoactive'],['hypoact'],['hypoact']
hypocrit,['hypocritical'],['hypocrit'],['hypocrit']
hypothalam,['hypothalamic'],['hypothalam'],['hypothalam']
hypothes,['hypothesized'],['hypothes'],['hypothes']
id,['id'],['id'],['id']
idea,['ideas'],['idea'],['idea']
identifi,['identifies'],['ident'],['identifi']
idol,['idol'],['idol'],['idol']
ie,['ie'],['ie'],['ie']
ierulli,['ierulli'],['ierull'],['ierulli']
ignazio,['ignazio'],['ignazio'],['ignazio']
ileum,['ileum'],['ile'],['ileum']
ill,"['ille', 'illness']","['il', 'il']","['ill', 'ill']"
illumin,['illumines'],['illumin'],['illumin']
im,['im'],['im'],['im']
imagin,"['imagine', 'imaginings', 'imaginations']","['imagin', 'imagin', 'imagin']","['imagin', 'imagin', 'imagin']"
imbecil,['imbecile'],['imbecil'],['imbecil']
imit,['imitating'],['imit'],['imit']
immens,['immensely'],['immens'],['immens']
immin,['imminence'],['immin'],['immin']
immort,['immortality'],['immort'],['immort']
impact,['impact'],['impact'],['impact']
impair,['impaired'],['impair'],['impair']
impercept,['imperceptible'],['impercept'],['impercept']
imperfect,['imperfections'],['imperfect'],['imperfect']
imperish,['imperishable'],['imp'],['imperish']
implant,['implant'],['impl'],['implant']
imponder,['imponderable'],['impond'],['imponder']
impos,['imposing'],['impos'],['impos']
improb,"['improbable', 'improbably']","['improb', 'improb']","['improb', 'improb']"
improv,"['improved', 'improvement']","['improv', 'improv']","['improv', 'improv']"
improvis,['improvises'],['improv'],['improvis']
imput,['imputation'],['imput'],['imput']
in,['ins'],['in'],['in']
inaccuraci,"['inaccuracies', 'inaccuracy']","['inacc', 'inacc']","['inaccuraci', 'inaccuraci']"
inaud,['inaudible'],['inaud'],['inaud']
inaugur,['inaugurating'],['inaug'],['inaugur']
inboard,['inboards'],['inboard'],['inboard']
incapac,['incapacity'],['incapac'],['incapac']
incid,['incidents'],['incid'],['incid']
incipi,"['incipience', 'incipient']","['incipy', 'incipy']","['incipi', 'incipi']"
incit,['incited'],['incit'],['incit']
inclus,"['inclusive', 'inclusiveness']","['includ', 'includ']","['inclus', 'inclus']"
incongru,['incongruous'],['incongru'],['incongru']
inconveni,['inconveniently'],['inconveny'],['inconveni']
incorpor,"['incorporated', 'incorporate']","['incorp', 'incorp']","['incorpor', 'incorpor']"
increment,['incremental'],['incr'],['increment']
incub,"['incubating', 'incubation']","['incub', 'incub']","['incub', 'incub']"
incur,['incurable'],['int'],['incur']
ind,['ind'],['ind'],['ind']
indefin,['indefinity'],['indefin'],['indefin']
indefinit,"['indefinite', 'indefinitely']","['indefinit', 'indefinit']","['indefinit', 'indefinit']"
indel,['indelicate'],['indel'],['indel']
