Snowball,Original,Porter,Lancaster
how,"['howes', 'hows', 'how']","['how', 'how', 'how']","['how', 'how', 'how']"
howard,"['howard', 'howards']","['howard', 'howard']","['howard', 'howard']"
howd,['howd'],['howd'],['howd']
howda,['howda'],['howda'],['howd']
howdi,['howdy'],['howdi'],['howdy']
howe,['howe'],['howe'],['how']
howel,['howell'],['howel'],['howel']
howev,['however'],['howev'],['howev']
howl,"['howled', 'howling', 'howl', 'howls']","['howl', 'howl', 'howl', 'howl']","['howl', 'howl', 'howl', 'howl']"
howorth,['howorth'],['howorth'],['howor']
howri,['howry'],['howri'],['howry']
hows,['howse'],['hows'],['hows']
howsabout,['howsabout'],['howsabout'],['howsabout']
howsam,"['howsam', 'howsams']","['howsam', 'howsam']","['howsam', 'howsam']"
howser,['howser'],['howser'],['hows']
howsomev,['howsomever'],['howsomev'],['howsomev']
hoxa,['hoxa'],['hoxa'],['hox']
hoy,['hoy'],['hoy'],['hoy']
hoydenish,['hoydenish'],['hoydenish'],['hoyd']
hoyl,['hoyles'],['hoyl'],['hoyl']
hoyt,['hoyt'],['hoyt'],['hoyt']
hp,['hp'],['hp'],['hp']
hpr,['hpr'],['hpr'],['hpr']
hr,['hr'],['hr'],['hr']
hrothgar,"['hrothgar', 'hrothgars']","['hrothgar', 'hrothgar']","['hrothg', 'hrothg']"
hu,['hued'],['hu'],['hued']
huai,['huai'],['huai'],['hua']
huang,['huang'],['huang'],['huang']
hub,"['hub', 'hubs']","['hub', 'hub']","['hub', 'hub']"
hubay,['hubay'],['hubay'],['hubay']
hubba,['hubba'],['hubba'],['hubb']
hubbel,['hubbell'],['hubbel'],['hubbel']
hubbi,['hubby'],['hubbi'],['hubby']
hubbub,['hubbub'],['hubbub'],['hubbub']
hubermann,['hubermann'],['hubermann'],['huberman']
hubert,['hubert'],['hubert'],['hubert']
hubi,['hubies'],['hubi'],['huby']
hubri,['hubris'],['hubri'],['hubr']
huck,['huck'],['huck'],['huck']
huckster,"['huckster', 'hucksters']","['huckster', 'huckster']","['huckst', 'huckst']"
huddl,"['huddled', 'huddle', 'huddling']","['huddl', 'huddl', 'huddl']","['huddl', 'huddl', 'huddl']"
hudson,"['hudson', 'hudsons']","['hudson', 'hudson']","['hudson', 'hudson']"
hue,"['hue', 'hues']","['hue', 'hue']","['hue', 'hue']"
huey,['huey'],['huey'],['huey']
huff,"['huff', 'huffs']","['huff', 'huff']","['huff', 'huff']"
huffman,['huffman'],['huffman'],['huffm']
hug,"['hugged', 'hugging', 'hug', 'huggings']","['hug', 'hug', 'hug', 'hug']","['hug', 'hug', 'hug', 'hug']"
huge,['huge'],['huge'],['hug']
huggin,['huggins'],['huggin'],['huggin']
hugh,"['hugh', 'hughes']","['hugh', 'hugh']","['hugh', 'hugh']"
hugo,"['hugo', 'hugos']","['hugo', 'hugo']","['hugo', 'hugo']"
huh,['huh'],['huh'],['huh']
huhmun,['huhmun'],['huhmun'],['huhmun']
huitoto,['huitotoes'],['huitoto'],['huitoto']
hulk,"['hulking', 'hulk', 'hulks']","['hulk', 'hulk', 'hulk']","['hulk', 'hulk', 'hulk']"
hull,['hull'],['hull'],['hul']
hultberg,['hultberg'],['hultberg'],['hultberg']
hum,"['hummed', 'humming', 'hum', 'humly']","['hum', 'hum', 'hum', 'humli']","['hum', 'hum', 'hum', 'hum']"
humain,['humaine'],['humain'],['humain']
human,"['humane', 'humanize', 'humanism', 'human', 'humanities', 'humans', 'humanness', 'humanely', 'humanly', 'humanity']","['human', 'human', 'human', 'human', 'human', 'human', 'human', 'human', 'humanli', 'human']","['hum', 'hum', 'hum', 'hum', 'hum', 'hum', 'hum', 'hum', 'hum', 'hum']"
humanist,"['humanistic', 'humanists', 'humanist']","['humanist', 'humanist', 'humanist']","['hum', 'hum', 'hum']"
humanitarian,['humanitarian'],['humanitarian'],['humanit']
humbl,"['humbled', 'humble', 'humbly']","['humbl', 'humbl', 'humbl']","['humbl', 'humbl', 'humbl']"
hume,"['hume', 'humes']","['hume', 'hume']","['hum', 'hum']"
humid,"['humid', 'humidity']","['humid', 'humid']","['humid', 'humid']"
humil,"['humilation', 'humility']","['humil', 'humil']","['humil', 'humil']"
humili,"['humiliated', 'humiliating', 'humiliation', 'humiliatingly']","['humili', 'humili', 'humili', 'humiliatingli']","['humy', 'humy', 'humy', 'humy']"
hummock,['hummocks'],['hummock'],['hummock']
humor,"['humor', 'humorous', 'humoredly']","['humor', 'humor', 'humoredli']","['hum', 'hum', 'hum']"
humorist,['humorists'],['humorist'],['hum']
humour,['humour'],['humour'],['humo']
hump,"['humped', 'hump']","['hump', 'hump']","['hump', 'hump']"
humphrey,['humphrey'],['humphrey'],['humphrey']
humpti,['humpty'],['humpti'],['humpty']
hun,['hun'],['hun'],['hun']
hunch,"['hunched', 'hunch', 'hunches']","['hunch', 'hunch', 'hunch']","['hunch', 'hunch', 'hunch']"
hundr,"['hundred', 'hundreds']","['hundr', 'hundr']","['hundr', 'hundr']"
hundredth,['hundredth'],['hundredth'],['hundred']
hung,['hung'],['hung'],['hung']
hungari,['hungary'],['hungari'],['hung']
hungarian,['hungarian'],['hungarian'],['hung']
hunger,['hunger'],['hunger'],['hung']
hungri,['hungry'],['hungri'],['hungry']
hungrier,['hungrier'],['hungrier'],['hungry']
hunk,['hunk'],['hunk'],['hunk']
hunker,['hunkered'],['hunker'],['hunk']
hunkerish,['hunkerish'],['hunkerish'],['hunk']
hunt,"['hunted', 'hunting', 'hunts', 'hunt']","['hunt', 'hunt', 'hunt', 'hunt']","['hunt', 'hunt', 'hunt', 'hunt']"
hunter,"['hunter', 'hunters']","['hunter', 'hunter']","['hunt', 'hunt']"
huntington,"['huntington', 'huntingtons']","['huntington', 'huntington']","['huntington', 'huntington']"
huntley,['huntley'],['huntley'],['huntley']
huo,['huo'],['huo'],['huo']
hurdl,"['hurdled', 'hurdle', 'hurdles']","['hurdl', 'hurdl', 'hurdl']","['hurdl', 'hurdl', 'hurdl']"
hurl,"['hurled', 'hurling', 'hurl']","['hurl', 'hurl', 'hurl']","['hurl', 'hurl', 'hurl']"
hurler,"['hurler', 'hurlers']","['hurler', 'hurler']","['hurl', 'hurl']"
hurley,['hurley'],['hurley'],['hurley']
hurok,['hurok'],['hurok'],['hurok']
hurrah,['hurrah'],['hurrah'],['hurrah']
hurray,"['hurrays', 'hurray']","['hurray', 'hurray']","['hurray', 'hurray']"
hurri,"['hurried', 'hurrying', 'hurriedly', 'hurry']","['hurri', 'hurri', 'hurriedli', 'hurri']","['hurry', 'hurry', 'hurry', 'hurry']"
hurrican,['hurricane'],['hurrican'],['hur']
hurt,"['hurting', 'hurts', 'hurt']","['hurt', 'hurt', 'hurt']","['hurt', 'hurt', 'hurt']"
hurti,['hurty'],['hurti'],['hurty']
hurtl,"['hurtled', 'hurtling']","['hurtl', 'hurtl']","['hurtl', 'hurtl']"
husband,"['husband', 'husbands']","['husband', 'husband']","['husband', 'husband']"
husbandri,['husbandry'],['husbandri'],['husbandry']
husbun,['husbun'],['husbun'],['husbun']
hush,"['hushed', 'hush']","['hush', 'hush']","['hush', 'hush']"
huski,"['huskiness', 'husky']","['huski', 'huski']","['husky', 'husky']"
huskili,['huskily'],['huskili'],['husky']
hustl,"['hustled', 'hustle', 'hustling']","['hustl', 'hustl', 'hustl']","['hustl', 'hustl', 'hustl']"
hustler,['hustler'],['hustler'],['hustl']
huston,['huston'],['huston'],['huston']
hut,"['huts', 'hut']","['hut', 'hut']","['hut', 'hut']"
hutchin,['hutchins'],['hutchin'],['hutchin']
hutchinson,['hutchinson'],['hutchinson'],['hutchinson']
hutment,"['hutments', 'hutment']","['hutment', 'hutment']","['hut', 'hut']"
hutton,['hutton'],['hutton'],['hutton']
huxley,"['huxleys', 'huxley']","['huxley', 'huxley']","['huxley', 'huxley']"
huzzah,['huzzahs'],['huzzah'],['huzzah']
hw,['hw'],['hw'],['hw']
hwa,['hwa'],['hwa'],['hwa']
hwang,['hwang'],['hwang'],['hwang']
hyacinth,['hyacinths'],['hyacinth'],['hyacinth']
hyalin,"['hyaline', 'hyalinization']","['hyalin', 'hyalin']","['hyalin', 'hyalin']"
hyanni,['hyannis'],['hyanni'],['hyan']
hybrid,['hybrid'],['hybrid'],['hybrid']
hyde,"['hyde', 'hydes']","['hyde', 'hyde']","['hyd', 'hyd']"
hydrat,['hydrated'],['hydrat'],['hydr']
hydraul,"['hydraulic', 'hydraulics', 'hydraulically']","['hydraul', 'hydraul', 'hydraul']","['hydra', 'hydra', 'hydra']"
hydrid,"['hydride', 'hydrides']","['hydrid', 'hydrid']","['hydrid', 'hydrid']"
hydrido,['hydrido'],['hydrido'],['hydrido']
hydro,['hydro'],['hydro'],['hydro']
hydrocarbon,"['hydrocarbon', 'hydrocarbons']","['hydrocarbon', 'hydrocarbon']","['hydrocarbon', 'hydrocarbon']"
hydrochemistri,['hydrochemistry'],['hydrochemistri'],['hydrochem']
hydrochlorid,['hydrochloride'],['hydrochlorid'],['hydrochlorid']
hydrogen,"['hydrogen', 'hydrogens']","['hydrogen', 'hydrogen']","['hydrog', 'hydrog']"
hydrolysi,['hydrolysis'],['hydrolysi'],['hydrolys']
hydrolyz,['hydrolyzed'],['hydrolyz'],['hydrolys']
hydrophil,['hydrophilic'],['hydrophil'],['hydrophil']
hydrophob,['hydrophobic'],['hydrophob'],['hydrophob']
hydrophobia,['hydrophobia'],['hydrophobia'],['hydrophob']
hydrostat,['hydrostatic'],['hydrostat'],['hydrost']
hydrous,['hydrous'],['hydrou'],['hydr']
hydroxazin,['hydroxazine'],['hydroxazin'],['hydroxazin']
hydroxid,['hydroxides'],['hydroxid'],['hydroxid']
hydroxyl,"['hydroxyl', 'hydroxylation']","['hydroxyl', 'hydroxyl']","['hydroxyl', 'hydroxyl']"
hyena,['hyena'],['hyena'],['hyen']
hygien,['hygiene'],['hygien'],['hygy']
hym,['hym'],['hym'],['hym']
hymen,"['hymen', 'hymens']","['hymen', 'hymen']","['hym', 'hym']"
hymn,"['hymn', 'hymns']","['hymn', 'hymn']","['hymn', 'hymn']"
hymself,['hymselfe'],['hymself'],['hymself']
hyndman,['hyndman'],['hyndman'],['hyndm']
hype,['hyped'],['hype'],['hyp']
hyperbol,"['hyperbolic', 'hyperbole', 'hyperbolically']","['hyperbol', 'hyperbol', 'hyperbol']","['hyperbol', 'hyperbol', 'hyperbol']"
hypercellular,['hypercellularity'],['hypercellular'],['hypercellul']
hyperem,['hyperemic'],['hyperem'],['hyperem']
hyperemia,['hyperemia'],['hyperemia'],['hyperem']
hyperfin,['hyperfine'],['hyperfin'],['hyperfin']
hyperplasia,['hyperplasia'],['hyperplasia'],['hyperplas']
hypertrophi,"['hypertrophied', 'hypertrophy']","['hypertrophi', 'hypertrophi']","['hypertroph', 'hypertroph']"
hyperveloc,['hypervelocity'],['hyperveloc'],['hyperveloc']
hyphen,['hyphenated'],['hyphen'],['hyph']
hypnosi,['hypnosis'],['hypnosi'],['hypnos']
hypnot,"['hypnotic', 'hypnotized', 'hypnotically']","['hypnot', 'hypnot', 'hypnot']","['hypnot', 'hypnot', 'hypnot']"
hypo,['hypo'],['hypo'],['hypo']
hypoact,['hypoactive'],['hypoact'],['hypoact']
hypoadrenocortic,['hypoadrenocorticism'],['hypoadrenocortic'],['hypoadrenocort']
hypocellular,['hypocellularity'],['hypocellular'],['hypocellul']
hypocrisi,"['hypocrisies', 'hypocrisy']","['hypocrisi', 'hypocrisi']","['hypocrisy', 'hypocrisy']"
hypocrit,"['hypocrite', 'hypocritical', 'hypocrites']","['hypocrit', 'hypocrit', 'hypocrit']","['hypocrit', 'hypocrit', 'hypocrit']"
hypoderm,['hypodermic'],['hypoderm'],['hypoderm']
hypophys,['hypophyseal'],['hypophys'],['hypophys']
hypophysectomis,['hypophysectomised'],['hypophysectomis'],['hypophysectom']
hypostat,['hypostatization'],['hypostat'],['hypost']
hypothalam,"['hypothalamic', 'hypothalamically']","['hypothalam', 'hypothalam']","['hypothalam', 'hypothalam']"
hypothalamus,['hypothalamus'],['hypothalamu'],['hypothalam']
hypothes,"['hypothesized', 'hypothesize', 'hypothesizing', 'hypotheses']","['hypothes', 'hypothes', 'hypothes', 'hypothes']","['hypothes', 'hypothes', 'hypothes', 'hypothes']"
hypothesi,['hypothesis'],['hypothesi'],['hypothes']
hypothet,['hypothetical'],['hypothet'],['hypothet']
hypothyroid,['hypothyroidism'],['hypothyroid'],['hypothyroid']
hys,['hys'],['hy'],['hys']
hyster,['hysterical'],['hyster'],['hyst']
hysterectomi,['hysterectomy'],['hysterectomi'],['hysterectom']
hysteria,['hysteria'],['hysteria'],['hyster']
hysteron,['hysteron'],['hysteron'],['hysteron']
hytt,['hytt'],['hytt'],['hyt']
i,['i'],['i'],['i']
iberia,['iberia'],['iberia'],['iber']
ibm,['ibm'],['ibm'],['ibm']
ibn,['ibn'],['ibn'],['ibn']
ibrahim,['ibrahim'],['ibrahim'],['ibrahim']
ibsen,['ibsen'],['ibsen'],['ibs']
ica,"['ica', 'icas']","['ica', 'ica']","['ic', 'ica']"
icbm,"['icbm', 'icbms']","['icbm', 'icbm']","['icbm', 'icbm']"
icc,['icc'],['icc'],['icc']
ice,"['iced', 'ice', 'icing']","['ice', 'ice', 'ice']","['ic', 'ic', 'ic']"
icebox,['icebox'],['icebox'],['icebox']
iceland,"['icelandic', 'iceland']","['iceland', 'iceland']","['iceland', 'iceland']"
ich,['ich'],['ich'],['ich']
ici,['icy'],['ici'],['icy']
icicl,['icicle'],['icicl'],['icic']
iconoclasm,['iconoclasm'],['iconoclasm'],['iconoclasm']
id,['id'],['id'],['id']
ida,['ida'],['ida'],['id']
idaho,['idaho'],['idaho'],['idaho']
idal,['idal'],['idal'],['id']
idea,"['idea', 'ideas']","['idea', 'idea']","['ide', 'idea']"
ideal,"['idealized', 'ideal', 'idealism', 'idealization', 'ideals', 'ideally']","['ideal', 'ideal', 'ideal', 'ideal', 'ideal', 'ideal']","['id', 'id', 'id', 'id', 'id', 'id']"
idealist,"['idealistic', 'idealist']","['idealist', 'idealist']","['id', 'id']"
ideat,['ideational'],['ideat'],['id']
ident,"['identical', 'identities', 'identically', 'identity']","['ident', 'ident', 'ident', 'ident']","['id', 'id', 'id', 'id']"
identif,"['identification', 'identifications']","['identif', 'identif']","['id', 'id']"
identifi,"['identified', 'identifiable', 'identifying', 'identifies', 'identify']","['identifi', 'identifi', 'identifi', 'identifi', 'identifi']","['ident', 'ident', 'ident', 'ident', 'ident']"
ideolog,"['ideological', 'ideologies', 'ideology']","['ideolog', 'ideolog', 'ideolog']","['ideolog', 'ideolog', 'ideolog']"
ideologist,['ideologist'],['ideologist'],['ideolog']
idioci,['idiocies'],['idioci'],['idiocy']
idiom,"['idiom', 'idioms']","['idiom', 'idiom']","['idiom', 'idiom']"
idiomat,['idiomatic'],['idiomat'],['idiom']
idiosyncrasi,['idiosyncrasies'],['idiosyncrasi'],['idiosyncrasy']
idiosyncrat,['idiosyncratic'],['idiosyncrat'],['idiosyncr']
idiot,"['idiotic', 'idiots', 'idiot', 'idiotically']","['idiot', 'idiot', 'idiot', 'idiot']","['idiot', 'idiot', 'idiot', 'idiot']"
idj,['idje'],['idj'],['ids']
idl,"['idled', 'idle', 'idling', 'idleness', 'idly']","['idl', 'idl', 'idl', 'idl', 'idli']","['idl', 'idl', 'idl', 'idl', 'id']"
idler,"['idler', 'idlers']","['idler', 'idler']","['idl', 'idl']"
idol,"['idolized', 'idolize', 'idol', 'idols']","['idol', 'idol', 'idol', 'idol']","['idol', 'idol', 'idol', 'idol']"
idolatri,['idolatry'],['idolatri'],['idolatry']
idyl,"['idyllic', 'idyll']","['idyl', 'idyl']","['idyl', 'idyl']"
ie,['ie'],['ie'],['ie']
ierulli,['ierulli'],['ierulli'],['ierull']
ifni,['ifni'],['ifni'],['ifn']
igbo,['igbo'],['igbo'],['igbo']
iglehart,['iglehart'],['iglehart'],['iglehart']
ignazio,['ignazio'],['ignazio'],['ignazio']
igneous,['igneous'],['igneou'],['ign']
ignit,"['ignited', 'ignite', 'ignition']","['ignit', 'ignit', 'ignit']","['ignit', 'ignit', 'ignit']"
ignor,"['ignored', 'ignorance', 'ignore', 'ignoring', 'ignores', 'ignorant']","['ignor', 'ignor', 'ignor', 'ignor', 'ignor', 'ignor']","['ign', 'ign', 'ign', 'ign', 'ign', 'ign']"
ignoramus,['ignoramus'],['ignoramu'],['ignoram']
igor,['igor'],['igor'],['ig']
ihmsen,['ihmsen'],['ihmsen'],['ihms']
iijima,['iijima'],['iijima'],['iijim']
ij,['ij'],['ij'],['ij']
ijal,['ijal'],['ijal'],['ij']
ike,"['ike', 'ikes']","['ike', 'ike']","['ik', 'ik']"
ikey,['ikey'],['ikey'],['ikey']
ikl,['ikle'],['ikl'],['ikl']
il,['il'],['il'],['il']
ileum,['ileum'],['ileum'],['ile']
iliac,['iliac'],['iliac'],['iliac']
iliad,['iliad'],['iliad'],['iliad']
ilka,['ilka'],['ilka'],['ilk']
ill,"['ille', 'ill', 'illnesses', 'ills', 'illness']","['ill', 'ill', 'ill', 'ill', 'ill']","['il', 'il', 'il', 'il', 'il']"
illeg,"['illegal', 'illegally']","['illeg', 'illeg']","['illeg', 'illeg']"
illegitim,['illegitimate'],['illegitim'],['illegitim']
illegitimaci,['illegitimacy'],['illegitimaci'],['illegitim']
illicit,['illicit'],['illicit'],['illicit']
illinoi,['illinois'],['illinoi'],['illino']
illiter,['illiterate'],['illiter'],['illit']
illog,['illogical'],['illog'],['illog']
illum,['illumed'],['illum'],['illum']
illumin,"['illumined', 'illuminated', 'illumine', 'illuminate', 'illuminating', 'illumination', 'illumines', 'illuminations']","['illumin', 'illumin', 'illumin', 'illumin', 'illumin', 'illumin', 'illumin', 'illumin']","['illumin', 'illumin', 'illumin', 'illumin', 'illumin', 'illumin', 'illumin', 'illumin']"
illus,"['illusive', 'illusion', 'illusions']","['illus', 'illus', 'illus']","['illud', 'illud', 'illud']"
illusionari,['illusionary'],['illusionari'],['illud']
illusori,['illusory'],['illusori'],['illus']
illustr,"['illustrated', 'illustrate', 'illustrative', 'illustrating', 'illustration', 'illustrator', 'illustrates', 'illustrations', 'illustrators']","['illustr', 'illustr', 'illustr', 'illustr', 'illustr', 'illustr', 'illustr', 'illustr', 'illustr']","['illust', 'illust', 'illust', 'illust', 'illust', 'illust', 'illust', 'illust', 'illust']"
illustri,['illustrious'],['illustri'],['illustry']
ilona,['ilona'],['ilona'],['ilon']
ilyushin,['ilyushin'],['ilyushin'],['ilyushin']
im,['im'],['im'],['im']
imag,"['image', 'imaging', 'images']","['imag', 'imag', 'imag']","['im', 'im', 'im']"
imageri,['imagery'],['imageri'],['imagery']
imagin,"['imagined', 'imagine', 'imaginative', 'imagining', 'imagination', 'imagines', 'imaginings', 'imaginations', 'imaginatively']","['imagin', 'imagin', 'imagin', 'imagin', 'imagin', 'imagin', 'imagin', 'imagin', 'imagin']","['imagin', 'imagin', 'imagin', 'imagin', 'imagin', 'imagin', 'imagin', 'imagin', 'imagin']"
imaginari,['imaginary'],['imaginari'],['imagin']
imagn,['imagnation'],['imagn'],['imagn']
imbal,"['imbalance', 'imbalances']","['imbal', 'imbal']","['imb', 'imb']"
imbecil,['imbecile'],['imbecil'],['imbecil']
imbed,['imbedded'],['imbed'],['imbed']
imbib,"['imbibed', 'imbibe']","['imbib', 'imbib']","['imbib', 'imbib']"
imboden,['imboden'],['imboden'],['imbod']
imbrium,['imbrium'],['imbrium'],['imbr']
imbroglio,['imbroglio'],['imbroglio'],['imbroglio']
imbru,['imbruing'],['imbru'],['imbru']
imbu,['imbued'],['imbu'],['imbu']
imcompar,['imcomparable'],['imcompar'],['imcomp']
imcomplet,['imcomplete'],['imcomplet'],['imcomplet']
imf,['imf'],['imf'],['imf']
imit,"['imitated', 'imitate', 'imitative', 'imitating', 'imitation', 'imitates', 'imitations', 'imitators']","['imit', 'imit', 'imit', 'imit', 'imit', 'imit', 'imit', 'imit']","['imit', 'imit', 'imit', 'imit', 'imit', 'imit', 'imit', 'imit']"
immacul,['immaculate'],['immacul'],['immac']
imman,['immanent'],['imman'],['im']
immateri,['immaterial'],['immateri'],['im']
immatur,"['immature', 'immaturity']","['immatur', 'immatur']","['im', 'im']"
immeasur,"['immeasurable', 'immeasurably']","['immeasur', 'immeasur']","['immeas', 'immeas']"
immedi,"['immediate', 'immediately']","['immedi', 'immedi']","['immedy', 'immedy']"
immediaci,"['immediacies', 'immediacy']","['immediaci', 'immediaci']","['immedy', 'immedy']"
immemori,['immemorial'],['immemori'],['immem']
immens,"['immense', 'immensities', 'immensely', 'immensity']","['immens', 'immens', 'immens', 'immens']","['immens', 'immens', 'immens', 'immens']"
immers,"['immersed', 'immersion']","['immers', 'immers']","['immers', 'immers']"
immigr,"['immigration', 'immigrants', 'immigrant']","['immigr', 'immigr', 'immigr']","['immigr', 'immigr', 'immigr']"
immin,"['imminence', 'imminent']","['immin', 'immin']","['immin', 'immin']"
immobl,['immobility'],['immobl'],['immobl']
immoder,['immoderate'],['immoder'],['immod']
immodest,['immodest'],['immodest'],['immodest']
immodesti,['immodesty'],['immodesti'],['immodesty']
immor,"['immoral', 'immoralities', 'immorality']","['immor', 'immor', 'immor']","['im', 'im', 'im']"
immort,"['immortalized', 'immortal', 'immortality']","['immort', 'immort', 'immort']","['immort', 'immort', 'immort']"
immov,['immovable'],['immov'],['immov']
immun,"['immunization', 'immunity']","['immun', 'immun']","['immun', 'immun']"
immunoelectrophoresi,['immunoelectrophoresis'],['immunoelectrophoresi'],['immunoelectrophores']
immut,['immutable'],['immut'],['immut']
impact,"['impacted', 'impacts', 'impact']","['impact', 'impact', 'impact']","['impact', 'impact', 'impact']"
impair,"['impaired', 'impair', 'impairment']","['impair', 'impair', 'impair']","['impair', 'impair', 'impair']"
impal,"['impaled', 'impaling']","['impal', 'impal']","['imp', 'imp']"
impart,"['imparted', 'impartation', 'imparts', 'impart']","['impart', 'impart', 'impart', 'impart']","['impart', 'impart', 'impart', 'impart']"
imparti,"['impartial', 'impartiality']","['imparti', 'imparti']","['impart', 'impart']"
impass,"['impassioned', 'impassable', 'impasse', 'impassive', 'impassively']","['impass', 'impass', 'impass', 'impass', 'impass']","['impass', 'impass', 'impass', 'impass', 'impass']"
impati,"['impatience', 'impatient', 'impatiently']","['impati', 'impati', 'impati']","['impaty', 'impaty', 'impaty']"
impecc,"['impeccable', 'impeccably']","['impecc', 'impecc']","['impecc', 'impecc']"
imped,['impeded'],['imped'],['imp']
impedi,['impediment'],['impedi'],['impedy']
impel,"['impelled', 'impelling']","['impel', 'impel']","['impel', 'impel']"
impend,['impending'],['impend'],['impend']
impenetr,['impenetrable'],['impenetr'],['impenet']
imper,['imperative'],['imper'],['imp']
impercept,"['imperceptible', 'imperceptibly']","['impercept', 'impercept']","['impercept', 'impercept']"
imperfect,"['imperfection', 'imperfections', 'imperfect', 'imperfectly', 'imperfectability']","['imperfect', 'imperfect', 'imperfect', 'imperfectli', 'imperfect']","['imperfect', 'imperfect', 'imperfect', 'imperfect', 'imperfect']"
imperi,"['imperial', 'imperialism', 'imperious', 'imperiously']","['imperi', 'imperi', 'imperi', 'imperi']","['imp', 'imp', 'impery', 'impery']"
imperial,['imperiales'],['imperial'],['imp']
imperialist,"['imperialists', 'imperialist']","['imperialist', 'imperialist']","['imp', 'imp']"
imperil,"['imperiled', 'imperilled', 'imperil']","['imperil', 'imperil', 'imperil']","['imperil', 'imperil', 'imperil']"
imperish,['imperishable'],['imperish'],['imp']
imperson,"['impersonated', 'impersonalized', 'impersonal', 'impersonation', 'impersonates', 'impersonally']","['imperson', 'imperson', 'imperson', 'imperson', 'imperson', 'imperson']","['imperson', 'imperson', 'imperson', 'imperson', 'imperson', 'imperson']"
impertin,['impertinent'],['impertin'],['impertin']
imperturb,['imperturbable'],['imperturb'],['imperturb']
impervi,['impervious'],['impervi'],['impervy']
impetu,['impetuous'],['impetu'],['impetu']
impetus,['impetus'],['impetu'],['impet']
impieti,['impiety'],['impieti'],['impy']
imping,"['impinge', 'impinging']","['imping', 'imping']","['imp', 'imp']"
impious,['impious'],['impiou'],['impy']
implac,['implacable'],['implac'],['implac']
implant,"['implanted', 'implantation', 'implant']","['implant', 'implant', 'implant']","['impl', 'impl', 'impl']"
implaus,['implausibly'],['implaus'],['implaus']
implement,"['implemented', 'implementing', 'implementation', 'implements', 'implement']","['implement', 'implement', 'implement', 'implement', 'implement']","['impl', 'impl', 'impl', 'impl', 'impl']"
impli,"['implied', 'implying', 'implies', 'imply']","['impli', 'impli', 'impli', 'impli']","['imply', 'imply', 'imply', 'imply']"
implic,"['implicated', 'implication', 'implications']","['implic', 'implic', 'implic']","['imply', 'imply', 'imply']"
implicit,"['implicit', 'implicitly']","['implicit', 'implicitli']","['implicit', 'implicit']"
implor,"['implored', 'implore', 'imploring']","['implor', 'implor', 'implor']","['impl', 'impl', 'impl']"
impolit,['impolitic'],['impolit'],['impolit']
imponder,['imponderable'],['imponder'],['impond']
import,"['imported', 'importance', 'importing', 'importation', 'imports', 'important', 'import', 'importantly']","['import', 'import', 'import', 'import', 'import', 'import', 'import', 'importantli']","['import', 'import', 'import', 'import', 'import', 'import', 'import', 'import']"
importun,"['importunities', 'importunately']","['importun', 'importun']","['importun', 'importun']"
impos,"['imposed', 'impose', 'imposing', 'imposes']","['impos', 'impos', 'impos', 'impos']","['impos', 'impos', 'impos', 'impos']"
imposit,['imposition'],['imposit'],['imposit']
imposs,"['impossible', 'impossibly', 'impossibility']","['imposs', 'imposs', 'imposs']","['imposs', 'imposs', 'imposs']"
impot,"['impotence', 'impotent', 'impotency']","['impot', 'impot', 'impot']","['impot', 'impot', 'impot']"
impound,['impoundments'],['impound'],['impound']
impoverish,['impoverished'],['impoverish'],['impov']
impract,['impractical'],['impract'],['impract']
impractic,['impracticable'],['impractic'],['impract']
imprec,"['imprecates', 'imprecations']","['imprec', 'imprec']","['imprec', 'imprec']"
imprecis,"['imprecise', 'imprecisely']","['imprecis', 'imprecis']","['imprec', 'imprec']"
impregn,['impregnated'],['impregn'],['impregn']
impresario,['impresario'],['impresario'],['impresario']
impress,"['impressed', 'impressive', 'impressing', 'impression', 'impresser', 'impresses', 'impressions', 'impress']","['impress', 'impress', 'impress', 'impress', 'impress', 'impress', 'impress', 'impress']","['impress', 'impress', 'impress', 'impress', 'impress', 'impress', 'impress', 'impress']"
impression,['impressionism'],['impression'],['impress']
impressionist,"['impressionistic', 'impressionists', 'impressionist']","['impressionist', 'impressionist', 'impressionist']","['impress', 'impress', 'impress']"
imprimatur,['imprimatur'],['imprimatur'],['imprim']
imprint,"['imprinted', 'imprint']","['imprint', 'imprint']","['imprint', 'imprint']"
imprison,"['imprisoned', 'imprisons', 'imprisonment']","['imprison', 'imprison', 'imprison']","['imprison', 'imprison', 'imprison']"
improb,"['improbable', 'improbably']","['improb', 'improb']","['improb', 'improb']"
impromptu,['impromptu'],['impromptu'],['impromptu']
improp,"['improper', 'improperly']","['improp', 'improperli']","['improp', 'improp']"
improprieti,['impropriety'],['improprieti'],['impropry']
improv,"['improved', 'improve', 'improving', 'improves', 'improvements', 'improvement']","['improv', 'improv', 'improv', 'improv', 'improv', 'improv']","['improv', 'improv', 'improv', 'improv', 'improv', 'improv']"
improvis,"['improvised', 'improvise', 'improvising', 'improvisation', 'improviser', 'improvises', 'improvisations']","['improvis', 'improvis', 'improvis', 'improvis', 'improvis', 'improvis', 'improvis']","['improv', 'improv', 'improv', 'improv', 'improv', 'improv', 'improv']"
imprud,['imprudently'],['imprud'],['imprud']
impud,"['impudence', 'impudent', 'impudently']","['impud', 'impud', 'impud']","['impud', 'impud', 'impud']"
